Name account,Sentiment,Vader,Textblob,Retweet
TonyFratto,0,0,0,1
TonyFratto,0,0,0,5
TonyFratto,-1,-0.7184,-0.06,0
TonyFratto,-1,-0.5719,-0.8,0
TonyFratto,0,0,0,0
TonyFratto,-1,0,0,58425
TonyFratto,0,0,0,0
TonyFratto,0,0,0.1364,1
TonyFratto,0,0,0,0
TonyFratto,0,0.5667,-0.5,1
TonyFratto,1,-0.6004,0.55,0
TonyFratto,0,0.4019,0.0536,0
TonyFratto,0,0,0,0
TonyFratto,0,0,0,2
TonyFratto,-1,0,0.2167,12
TonyFratto,0,0.7304,0,0
TonyFratto,0,0.8462,0.4119,0
TonyFratto,0,0,0,16
TonyFratto,-1,0.9126,0.0333,0
TonyFratto,0,0,0.0952,0
TonyFratto,0,0.4404,0.5,0
TonyFratto,-1,-0.5423,-0.167,0
TonyFratto,0,0,0.375,8
TonyFratto,0,-0.1027,0,44
TonyFratto,-3,0.7351,0.3,1
TonyFratto,0,0,0,0
TonyFratto,0,-0.5707,0.1333,4
TonyFratto,0,0.4404,0.5,16
TonyFratto,0,-0.34,-0.6,2
TonyFratto,0,0.7096,0.3136,15
TonyFratto,0,0,0.3,4
TonyFratto,0,0,0,0
TonyFratto,0,-0.4019,0,10
TonyFratto,-1,0,0,0
TonyFratto,0,0.3182,0.7,0
TonyFratto,0,0,0,2
TonyFratto,0,0.6369,0.2778,0
TonyFratto,0,0.7003,0.1222,2
TonyFratto,0,0.6103,0,0
TonyFratto,0,0.4767,-0.1333,0
TonyFratto,-1,-0.296,0,0
TonyFratto,0,-0.7218,0.1667,0
TonyFratto,1,0.8919,0.2667,0
TonyFratto,-1,0,0,0
TonyFratto,0,0.2411,-1,0
TonyFratto,0,-0.5574,-0.0625,11
TonyFratto,0,0.4019,0,36
TonyFratto,0,0.5707,0,0
TonyFratto,0,0.6705,0.3,23
TonyFratto,0,0,0.5,3
TonyFratto,0,-0.4019,-1,19
TonyFratto,0,0.1477,0.33,3
TonyFratto,0,-0.4939,-0.05,7
TonyFratto,0,0,0.2,4
TonyFratto,0,0.6114,1,0
TonyFratto,-1,0.4574,0,18
